;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference;AcceptedSpecies
910;0;Europe;Clepsis consimilana;Palearctic;1971;Powell, J. and Burns, J. (1971). Colonization of the northeastern United States by two Palearctic moths (Lepidoptera: Tortricidae). Psyche: A Journal of Entomology. 78(1): 38-48;Clepsis consimilana
911;0;Europe;Clepsis spectrana;Palearctic;1996;Dang, P., Duncan, R. and Fitzpatrick, S. (1996). Occurrence of two palaearctic species of Clepsis Guenee, C. spectrana Treitshcke and C. consimilana (Huebner)(Tortricidae), in British Columbia, Canada. Journal of The Lepidopterist Society. 50: 321-328;Clepsis spectrana
912;0;Europe;Hydraecia micacea;Palearctic;1984;Carter, D. (1984). Pest Lepidoptera of Europe: with special reference to the British Isles (Vol. 31). Springer Science and Business Media. Berlin, Germany.;Hydraecia micacea
913;0;Asia;Sameodes cancellalis;Oceanina;2018;Poltavsky, A., Kravchenko, V., Traore, M., Traore, S., Gergely, P., Witt, T., ... and Muller, G. (2018). The Pyraloidea (Lepidoptera) fauna of the woody savannah belt in Mali, West Africa. Zootaxa. 4457(1): 39–69;Sameodes cancellalis
914;0;Asia;Neurothaumasia ankerella;Palearctic;2015;Gaedike, R. (2015). Tineidae I: (Dryadaulinae, Hapsiferinae, Euplocaminae, Scardiinae, Nemapogoninae and Meessiinae). In: Nuss, M., Karsholt, O., Mutanen, M. (Eds.). Microlepidoptera of Europe. Brill. Leiden, Netherlands.;Neurothaumasia ankerella
915;0;Asia;Dendrolimus pini;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Dendrolimus pini
916;0;Africa;Spodoptera exempta;Afrotropical;1986;Haggis, M. (1986). Distribution of the African armyworm, Spodoptera exempta (Walker)(Lepidoptera: Noctuidae), and the frequency of larval outbreaks in Africa and Arabia. Bulletin of Entomological Research. 76(1): 151-170;Spodoptera exempta
917;0;Europe;Apopestes spectrum;Palearctic;2014;Baron, T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia, Turkey. Esperiana Band. 19: 263-296;Apopestes spectrum
918;0;Europe;Coleophora klimeschiella;Palearctic;2018;Richter, I. (2018). New findings of the case-bearing moths (genus Coleophora Hubner, 1822) from the Balkan Peninsula with description of two new species (Lepidoptera, Coleophoridae). Microlepidoptera.hu. 13(1): 43-52;Coleophora klimeschiella
919;0;Europe;Duponchelia fovealis;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Duponchelia fovealis
920;0;North America;Ancylostomia stercorea;Neotropical;1972;Barrow, R. (1972). The bionomics of Ancyclostomia stercorea (zeller): a pod-borer on pigeon pea in Trinidad. [PhD Thesis, McGill University, Quebec];Ancylostomia stercorea
921;0;North America;Spodoptera eridania;Neotropical;2023;Zhang, Y., Zhao, H., Qi, Y., Li, M., Yang, N., Guo, J., ... and Liu, W. (2023). Global potential geographical distribution of the southern armyworm (Spodoptera eridania) under climate change. Biology. 12(7): 1040;Spodoptera eridania
922;0;North America;Copaxa lavendera;Panamanian;2013;Sarmiento-Cordero, M. and Contreras-Ramos, A. (2013). Phenology of Copaxa lavendera (Westwood)(Lepidoptera, Saturniidae) from Sierra de Las Navajas, Hidalgo, Mexico. The Pan-Pacific Entomologist. 88(4): 399-406;Copaxa lavendera
923;0;North America;Copaxa lavendera;Panamanian;2017;Barrios-Diaz, B., Sanchez-Garcia, L., Equihua–Martinez, A., Vazquez-Huerta, G. and Barrios-Diaz, J. (2017). Identificacion de lepidopteros asociados al follaje de encino (Quercus spp.), en el municipio de Tetela de Ocampo, Puebla. Folia Entomologica Mexicana. 4: 537-543;Copaxa lavendera
924;0;North America;Auratonota dispersa;Panamanian;1990;Brown, J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157;Auratonota dispersa
925;0;North America;Tmolus echion;Panamanian;1934;Carter, W. (1934). Notes on two Pests of Pineapple not known in Hawaii. Proceedings of the Hawaiian Entomological Society. 8(3): 395-397;Tmolus echion
926;0;North America;Vanessa atalanta;Panamanian;2020;Walker, A. (2020). Vanessa atalanta. The IUCN Red List of Threatened Species 2020: e.T174225A172421220.;Vanessa atalanta
927;0;North America;Tecia solanivora;Panamanian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Tecia solanivora
928;0;North America;Crocidosema aporema;Panamanian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Crocidosema aporema
929;0;Oceania;Perixera illepidaria;Oceanina;2014;Kumar, V., Reddy, P., Anal, A. and Nath, V. (2014). Outbreak of the looper, Perixera illepidaria (Lepidoptera: Geometridae) on litchi, Litchi chinensis (Sapindales: Sapindaceae)-a new pest record from India. Florida Entomologist, 97(1): 22-29;Perixera illepidaria
930;0;Oceania;Cryptophlebia ombrodelta;Oceanina;1975;Sinclair, E. (1975). A life system study of Cryptophlebia ombrodelta (Lower)(Lepidoptera: Tortricidae) in southeast Queensland. Doctoral Dissertation, University of Queensland;Cryptophlebia ombrodelta
931;0;Oceania;Crocidolomia pavonana;Oceanina;1946;Swezey, O. (1946). Lepidoptera, Geometridae, Arctiidae, Agrotidae, and Pyralidae of Guam. In: Insects of Guam II. Bernice P. Bishop Museum Bulletin. 189: 163-185;Crocidolomia pavonana
932;0;Oceania;Papilio xuthus;Oceanina;2024;Inayoshi, Y. (2024). A Check List of Butterflies in Indo-China - Chiefly from Thailand, Laos and Vietnam. Available at: https://yutaka.it-n.jp/index.html;Papilio xuthus
933;0;South America;Ategumia ebulealis;Neotropical;2022;Brou, V. and Brou, C. (2022). Abita Entomological Study Site. Southern Lepidopterists News. 44(5): 409-460;Ategumia ebulealis
934;0;North America;Caphys biliniata;Panamanian;2012;Miller, J, Matthews, D., Warren, A., Solis, M., Harvey, D., Gentili-Poole, P., ... and Covell, C. (2012). An annotated list of the Lepidoptera of Honduras. Insecta Mundi. 205: 1-72;Caphys biliniata
