RecordID;SpeciesID;Species;AreaID;AreaName;RealmID;Realm;Cryptogenic;IntentionalRelease;Introduced;Dispersal;Established;Eradicated;Year;ReferenceID;BibliographicReference
REC86;SP17;Acontia candefacta;RUS.1_1;Russia Europe;RLM11;Palearctic;;;1.0;;1.0;0.0;1967.0;REF957;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/
REC87;SP17;Acontia candefacta;GBR.1_1;United Kingdom;RLM11;Palearctic;;;1.0;;1.0;0.0;;REF957;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/
REC88;SP17;Acontia candefacta;RUS.1_2;Russia Asia;RLM11;Palearctic;0.0;;1.0;;1.0;0.0;;REF683;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
REC89;SP17;Acontia candefacta;GBR.1_1;United Kingdom;RLM11;Palearctic;0.0;0.0;1.0;;1.0;0.0;;REF683;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
REC90;SP17;Acontia candefacta;SRB.1_1;Serbia;RLM11;Palearctic;0.0;0.0;1.0;1.0;1.0;0.0;2009.0;REF1037;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
REC91;SP17;Acontia candefacta;ROU.1_1;Romania;RLM11;Palearctic;0.0;0.0;1.0;1.0;1.0;0.0;2008.0;REF1037;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
REC92;SP17;Acontia candefacta;UKR.1_1;Ukraine;RLM11;Palearctic;0.0;0.0;1.0;0.0;1.0;0.0;2004.0;REF1037;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
REC93;SP17;Acontia candefacta;RUS.1_1;Russia Europe;RLM11;Palearctic;0.0;0.0;1.0;1.0;1.0;0.0;2005.0;REF1037;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
REC94;SP17;Acontia candefacta;BGR.1_1;Bulgaria;RLM11;Palearctic;0.0;0.0;1.0;1.0;1.0;0.0;2009.0;REF1037;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120
REC95;SP18;Acontia crocata;FRA.1_1;France;RLM11;Palearctic;;;1.0;;1.0;0.0;;REF542;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org
REC96;SP18;Acontia crocata;FRA.1_1;France;RLM11;Palearctic;;;;;1.0;0.0;;REF152;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
REC97;SP19;Acraea terpiscore;AUS.1_1;Australia;RLM2;Australian;;;1.0;;1.0;0.0;;REF697;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw
REC98;SP20;Acraea terpsicore;AUS.1_1;Australia;RLM2;Australian;;;;;1.0;0.0;;REF152;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
REC99;SP20;Acraea terpsicore;AUS.1_1;Australia;RLM2;Australian;;;;;1.0;0.0;;REF152;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
REC100;SP20;Acraea terpsicore;AUS.1_1;Australia;RLM2;Australian;0.0;0.0;0.0;;1.0;0.0;2012.0;REF185;Chowdhury, S. et al. (2020). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27(3): 402-415
