Species;Continent;Realm;BibliographicReference;ReferenceYear
Aglossa dimidiatus;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglossa dimidiatus;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglossa dimidiatus;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglossa pinguinalis;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglossa pinguinalis;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglossa pinguinalis;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agonopterix alstromeriana;Europe;Palearctic;McKenna, D. et al. (2001). A native hymenopteran predator of Agonopterix alstroemeriana (Lepidoptera: Oecophoridae) in East-Central Illinois. The Great Lakes Entomologist. 34(1): 10;2001.0
Agonopterix arenella;Europe;Palearctic;Zhu, X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner, [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404;2023.0
Agonopterix arenella;Asia;Palearctic;Zhu, X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner, [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404;2023.0
Agonopterix assimilella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agonopterix ciliella;Europe;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Agonopterix heracliana;Europe;Palearctic;Ireson, J. et al. (2013). Host testing, establishment and biology of the gorse soft shoot moth, Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae), a potential biological control agent for gorse, Ulex europaeus L.(Fabaceae), in Australia. Biological Control. 67(3): 451-461;2013.0
Agonopterix nervosa;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agonopterix ulicetella;Europe;Palearctic;Hill, R. et al. (1995). Suitability of Agonopterix ulicetella (Lepidoptera: Oecophoridae) as a Control for Ulex europaeus. Biocontrol Science and Technology. 5: 3-10;1995.0
Agonopterix ulicetella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agonoxena argaula;North America;Nearctic;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Agonoxena argaula;Oceania;Oceanian;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Agonoxena argaula;Europe;Palearctic;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America;1978.0
Agonoxena argaula;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agonoxena pyrogramma;North America;Nearctic;Clarke, B., Gates-Clarke, J. (1984). Insects of Micronesia, Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155;1984.0
Agonoxena pyrogramma;Oceania;Oceanian;Clarke, B., Gates-Clarke, J. (1984). Insects of Micronesia, Microlepidoptera: Gelechioidea. Insects of Micronesia. 9(2): 145-155;1984.0
