ReferenceID,BibliographicReference,ReferenceYear
REF107,"""Shaw T. et al. (2021). Seasonal flight patterns of Chrysodeixis includens (Lepidoptera: Noctuidae) in the Florida panhandle and inventory of plusiine species cross-attracted to synthetic pheromone. Journal of Economic Entomology. 114(6): 2315-2325""",2021.0
REF108,"""Eichlin T. Cunningham H. (1978). The Plusiinae (Lepidoptera: Noctuidae) of America north of Mexico emphasizing genitalic and larval morphology (No. 1567). Department of Agriculture Agricultural Research Service. Washington D.C. United States of America""",1978.0
REF109,"""Leps J. Spitzer K. (1990). Ecological determinants of butterfly communities (Lepidoptera Papilionoidea) in the Tam Dao mountains Vietnam. Acta Entomologica Bohemoslovaca. 87(3): 182-194""",1990.0
REF110,"""Gordon A. (2011). Biological control endeavours against Australian myrtle Leptospermum laevigatum (Gaertn.) F. Muell.(Myrtaceae) in South Africa. African Entomology. 19(1): 349-355""",2011.0
REF111,"""Diatloff G. Palmer W. (1988). The host specificity and biology of Aristotella ivae Busck (Gelechiidae) and Lorita baccharivora Pogue (Tortricidae) two microlepidoptera selected as biological control agents for Baccharis halimifolia (Asteraceae) in Australia. Proceedings of the Entomological Society of Washington. 90(4): 458-461""",1988.0
REF112,"""Marianelli L. et al. (2020). First record of the pest Artona (Fuscartona) martini Efetov 1997 (Lepidoptera Zygaenidae Procridinae Artonini) in European territory. Redia: Journal of Zoology/Giornale di Zoologia. 103: 3-7""",2020.0
REF113,"""Ekrem T. et al. (2014). The most northerly Black Witch (Ascalapha odorata): a tropical moth in the Canadian Arctic. The Canadian Field-Naturalist. 128(1): 77-79""",2014.0
REF114,"""Koster S. Sammut P. (2006). Faunistic notes on Momphidae Batrachedridae Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49-63""",2006.0
REF115,"""Gozmany L. (1960). The results of the zoological collecting trip to Egypt in 1957 of the Natural History Museum Budapest. 8. Egyptian Microlepidoptera II""",1960.0
REF116,"""Landry B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera Pyralidae sl) of the Galapagos Islands Ecuador. Revue Suisse de Zoologie. 123(2): 315-399""",2016.0
REF117,"""Hirai N. et al. (2011). Effects of photoperiod and temperature on development and diapause in a noctuid moth Asota ficus (Fabricius)(Lepidoptera: Noctuidae) of the Osaka population. Lepidoptera Science. 62(4): 166-174""",2011.0
REF118,"""Austin K. Rubinoff D. (2024). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2023. Bishop Museum Occasional Papers. 156: 111-121""",2024.0
REF119,"""Roberts L. (1979). Insects from the Cavalli Islands. Tane. 25: 125-131""",1979.0
REF120,"""Irungbam J. Irungbam M. (2019). Contributions to the knowledge of moths of Bombycoidea Latreille 1802 (Lepidoptera: Heterocera) of Bhutan with new records. Journal of Threatened Taxa. 11(8): 14022-14050""",2019.0
REF121,"""Bidzilya O. (2005). A review of the genus Athrips (Lepidoptera Gelechiidae) in the Palaearctic region. Deutsche Entomologische Zeitschrift. 52(1): 3-72""",2005.0
REF122,"""Brown J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157""",1990.0
REF123,"""Kim S. et al. (2023). One Newly Recorded Species Autosticha kyotensis (Lepidoptera: Autostichidae) from Korea with a World Checklist of the Genus. Korean Journal of Applied Entomology. 62(2): 61-67""",2023.0
REF124,"""Park K. Kim S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80""",2017.0
REF125,"""Becker V. Miller S. (2002). Large moths of Guana Island British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae Notodontidae Noctuidae Arctiidae Geometridae Hyblaeidae Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44""",2002.0
REF126,"""Ramos J. (1946). The insects of Mona Island (West Indies). The Journal of Agriculture of the University of Puerto Rico. 30(1): 1-73""",1946.0
REF127,"""Diakonoff A. (1964). Further records and descriptions of the species of Bactra Stephens (Lepidoptera Tortricidae). Zoologische Verhandelingen. 70(1): 1-81""",1964.0
REF128,"""Razowski J. et al. (2008). The Tortricidae (Lepidoptera) of the Galapagos Islands Ecuador. Revue Suisse de Zoologie. 115(1): 185""",2008.0
REF129,"""Sohn J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138""",2015.0
REF130,"""Ferguson D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357""",1997.0
REF131,"""Meyrick E. (1887). On Pyralidina from Australia and the South Pacific. The Transactions of the Entomological Society of London for the Year of 1887. 185-268""",1887.0
REF132,"""Common I. (2000). Oecophorine genera of Australia III: the Barea group and unplaced genera (Lepidoptera: Oecophoridae) (Vol. 8). Csiro Publishing""",2000.0
REF133,"""Withers T. (2001). Colonization of eucalypts in New Zealand by Australian insects. Austral Ecology. 26(5): 467-476""",2001.0
REF134,"""Mustelin T. et al. (2017). Survey of the Lepidoptera in the North-Central Olympic National Park Washington USA. The Journal of the Lepidopterists Society. 72(4): 284-295""",2017.0
REF135,"""Carpenter J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40""",1978.0
REF136,"""Hodges R. (1966). Review of New World Species of Batrachedra with Description of Three New Genera (Lepidoptera: Gelechioidea). Transactions of the American Entomological Society. 92(4): 585-651""",1966.0
REF137,"""de Prins W. et al. (2009). Blastobasis adustella (Lepidoptera: Coleophoridae Blastobasinae) new to the Belgian list. Phegea. 37(3): 111-118""",2009.0
REF138,"""Karsholt O. Sinev S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463""",2004.0
REF139,"""Adamski D. Brown R. L. (2022). Larval pupal and adult morphology of the acorn moth Blastobasis glandulella (Riley 1871)(Lepidoptera: Gelechioidea: Blastobasidae). The Journal of the Lepidopterists Society. 76(1): 10-20""",2022.0
REF140,"""Pinzari M. Pinzari M. (2023). Blastobasis tarda Meyrick 1902 an alien species from Australia new to Italy (Lepidoptera: Blastobasidae). SHILAP Revista de lepidopterologia. 51(201): 51-54""",2023.0
REF141,"""Dickel T. (1991). New Records of Noctuid Moths from Florida. Tropical Lepidoptera. 2(1): 53-58""",1991.0
REF142,"""Stonis J. Rociene A. (2013) Nepticulidae (Lepidoptera) of East Asia (1). Re-examination of the male genitalia of types deposited at the Russian Academy of Sciences. Zootaxa. 3652 (1): 1–59""",2013.0
REF143,"""Petersen W. Looney C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61""",2020.0
REF144,"""Waterhouse D. (1994). Biological Control of Weeds: Southeast Asian Prospects. Australian Centre for International Agricultural Research - ACIAR. Camberra Australia""",1994.0
REF145,"""Littlefield J. et al. (2000). A petition for the introduction and field release of the Chondrilla root moth Bradyrrhoa gilveolella (Treitschke) for the biological control of rush skeletonweed in North America. USDA-APHIS Biological Control of Weeds Petition""",2000.0
REF146,"""Calhoun J. Smith R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493""",2022.0
REF147,"""van Nieukerken E. et al. (2012). Bucculatrix ainsliella Murtfeldt a new North American invader already widespread on northern red oaks (Quercus rubra) in Western Europe (Bucculatricidae). Nota Lepidopterologica. 35(2): 135-159""",2012.0
