ReferenceID,BibliographicReference,ReferenceYear
REF148,"""Diatloff G. (1987). Host Specificity and Biology of Buccalatrix ivella Busck a Potential Biological Control Agent for Baccharis halimifolia L. in Australia. Journal of the Lepidopterists Society. 41(1): 23-28""",1987.0
REF149,"""McClay A. et al. (1990). Biology of Bucculatrix parthenica Bradley sp. n.(Lepidoptera: Bucculatricidae) and its establishment in Australia as a biological control agent for Parthenium hysterophorus (Asteraceae). Bulletin of Entomological Research 80(4): 427-432""",1990.0
REF150,"""Haidari H. (1956). The biology and control of the cotton leaf perforator. [Master of Sciences Thesis The University of Arizona]""",1956.0
REF151,"""Baniameri V. et al. (2017). Morphology and biology of the elm leaf-mining moth Bucculatrix ulmifoliae Hering 1931 (Lep.: Bucculatricidae) in Iran. Journal of Entomological Society of Iran 37(2) 213-222""",2017.0
REF152,"""Brown J. (2008). Review of the Neotropical genus Cacocharis Walsingham (Lepidoptera: Tortricidae: Olethreutini) with a new synonymy and comments on its host plants and geographic distribution. Proceedings of the Entomological Society of Washington 110(3) 533-542""",2008.0
REF153,"""Quacchia A. et al. (2008). Can the Geranium Bronze Cacyreus marshalli become a threat for European biodiversity? Biodiversity and Conservation. 17: 1429-1437""",2008.0
REF154,"""Prevett P. (1968). Some laboratory observations on the life-cycle of Cadra calidella (Guen.)(Lepidoptera: Phycitidae). Journal of Stored Products Research. 4(3): 233-238""",1968.0
REF155,"""Al-Khalidi N. Al-Zurfi S. (2025). First morphological and molecular identification of mealybug Cadra cautella (Lepidoptera: Pyralidae) in Karbala Iraq. Journal of Kerbala for Agricultural Sciences. 12(1): 29-36""",2025.0
REF156,"""Cong Q. et al. (2017). The first complete genomes of Metalmarks and the classification of butterfly families. Genomics. 109(5): 485-493""",2017.0
REF157,"""Chittenden F. (1913). The Florida fern caterpillar (No. 125). US Department of Agriculture Bureau of Entomology""",1913.0
REF158,"""Sugiura S. (2011). Structure and dynamics of the parasitoid community shared by two herbivore species on different host plants. Arthropod-Plant Interactions. 5: 29-38""",2011.0
REF159,"""de Prins J. de Prins W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net""",2024.0
REF160,"""Mir S. et al. (2024). First record of the invasive walnut leaf miner Caloptilia roscipennella (Lepidoptera: Gracillariidae) in Kashmir India. Journal of Applied Entomology 148(8) 882-887""",2024.0
REF161,"""Young A. (1982). Notes on the interaction of the skipper butterfly Calpodes ethlius (Lepidoptera: Hesperiidae) with its larval host plant Canna edulis (Cannaceae) in Mazatlan State of Sinaloa Mexico. Journal of the New York Entomological Society. 90(2): 99-114""",1982.0
REF162,"""Braun A. (1908). Revision of the North American species of the genus Lithocolletis Hubner. Biological Laboratory of the University of Cincinnati. Cincinnati United States of America""",1908.0
REF163,"""Rodriguez A. et al. (2023). Capiitulo XIII Insectos asociados a los cultivares hibridos interespecificos OxG. In: Romero H. Los hibridos interespecificos OxG de palma de aceite. Cenipalma. Bogota D.C. Colombia""",2023.0
REF164,"""Cock M. (2017) A preliminary catalogue of the moths (Lepidoptera except Papilionoidea) of Tobago West Indies. Insecta Mundi. 585: 1-58""",2017.0
REF165,"""Aguila R. (2004). Lepidoptera (Insecta) de Topes de Collantes Sancti Spiritus Cuba. Boletin de la SEA Sociedad Entomologica Aragonisa. 34: 151-159""",2004.0
REF166,"""Miller J et al. (2012). An annotated list of the Lepidoptera of Honduras. Insecta Mundi. 205: 1-72""",2012.0
REF167,"""Benn M. et al. (1981). A Sex Attractant for Sperchia intractana Walker (Lepidoptera: Tortricidae) in New Zealand. Zeitschrift fur Naturforschung C. 36(1-2): 178-179""",1981.0
REF168,"""de-Gregorio J. (1982). Las Platyperigea Smith 1894 (insectivora. Lepidoptera) de Cataluna y Baleares. Bolletin de la Societat dHistoria Natural de les Balears. 26: 151-156""",1982.0
REF169,"""Kocak O. Cerci B. (2021). Lepidoptera fauna of Karaman with two new records for Turkey. Munis Entomology and Zoology. 16(2): 1171-1234""",2021.0
REF170,"""Crabo L. Holden D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae Noctuinae Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105""",2020.0
REF171,"""Meyrick E. (1895). A Handbook of British Lepidoptera. Macmillan and Co. United Kingdom London. 843pp""",1895.0
REF172,"""Passoa S. (1983). A new clear wing moth (Sesiidae) from Central America: a stem borer in Mimosa pigra. The Journal of the Lepidopterists Society. 37: 193-206""",1983.0
REF173,"""Gordon A. Lyons C. (2017). Current status of Carposina autologa (Lepidoptera: Carposinidae) a biological control agent of silky hakea Hakea sericea (Proteaceae) and rock hakea Hakea gibbosa (Proteaceae) in the Western Cape South Africa. African Entomology. 25(1): 250-253""",2017.0
REF174,"""Ishizuka K. et al. (2011). Molecular phylogeny of Japanese Catocala moths based on nucleotide sequences of the mitochondrial ND5 gene. Zoological Science. 28(12): 910-915""",2011.0
REF175,"""Braby M. (2000). Butterflies of Australia: their identification biology and distribution. CSIRO publishing. Collingwood Australia""",2000.0
REF176,"""Morris R. (1979). A review of the life history population levels and spread of the Antler moth Cerapteryx graminis (Lepidoptera: Noctuidae) in Newfoundland. The Canadian Entomologist. 111(8): 933-938""",1979.0
REF177,"""Hribar J. et al. (2024). An Asian moth Chabula acamasalis (Walker 1859)(Lepidoptera: Crambidae) collected in Monroe County Florida USA. Specimen Micropublications in Taxonomy and Natural History. 22""",2024.0
REF178,"""Austara O. Jones T. (1971). Host list and distribution of lepidopterous defoliators of exotic softwoods in East Africa. East African Agricultural and Forestry Journal. 36(4): 401-413""",1971.0
REF179,"""Bosman T. Brand J. (1971). Biological studies of the sex pheromone of Kotochalia junodi Heyl.(Lepidoptera: Psychidae) and its partial purification. Journal of the Entomological Society of Southern Africa. 34(1): 73-78""",1971.0
REF180,"""Tosevski I. et al. (1996). Description of European Chamaesphecia spp.(Lepidoptera: Sesiidae) feeding on Euphorbia (Euphorbiaceae) and their potential for biological control of leafy spurge (Euphorbia esula) in North America. Bulletin of Entomological Research. 86(6): 703-714""",1996.0
REF181,"""Sagliocco J. Coupland J. (1995). Biology and host specificity of Chamaesphecia mysiniformis (Lepidoptera: Sesiidae) a potential biological control agent of Marrubium vulgare (Lamiaceae) in Australia. Biocontrol Science and Technology. 5(4): 509-516""",1995.0
REF182,"""Harris K. (1990). Keynote address: bioecology of Chilo species. International Journal of Tropical Insect Science. 11(4): 467-477""",1990.0
REF183,"""Goebel R. (2006). The effect of temperature on development and reproduction of the sugarcane stalk borer Chilo sacchariphagus (Bojer 1856)(Lepidoptera: Crambidae). African Entomology. 14(1): 103-111""",2006.0
REF184,"""Burton J. (2003). The apparent influence of climatic change on recent changes of range by European insects (Lepidoptera Orthoptera). Proceedings of the 13th International colloquium European Invertebrate Survey. Leiden September 2001: pp. 13-21""",2003.0
REF185,"""Pogue M. (2013). Revised status of Chloridea Duncan and (Westwood) 1841 for the Heliothis virescens species group (Lepidoptera: Noctuidae: Heliothinae) based on morphology and three genes. Systematic Entomology. 38(3): 523-542""",2013.0
REF186,"""Holloway J. (1982). Further notes on the Lepidoptera of Norfolk Island with particular reference to migrant species. Journal of Natural History. 16(3): 351-365""",1982.0
REF187,"""Emmerson A. Hoare R. (2019). Lepidoptera from Redvale Albany north of Auckland New Zealand 2004-2016: an annotated list. The Weta. 53: 43-70""",2019.0
REF188,"""Kang T. et al. (2024). Alien hitchhiker insect species detected on international vessels entering Korea in 2023. Proceedings of the National Institute of Ecology of the Republic of Korea 5(4) 161-168""",2024.0
REF189,"""Yoshimatsu S. et al. (1993). Occurrence of Chlumetia brevisigna HOLLOWAY (Lepidoptera: Noctuidae) on Mango in Japan. Applied Entomology and Zoology. 28(3): 401-403""",1993.0
REF190,"""Rittner O. (2019). The first documented report of metalmark moths (Lepidoptera: Choreutidae) in Israel with the first record of oriental Choreutis sexfasciella (Sauber) in the Palearctic. Israel Journal of Entomology. 49(1): 63–67""",2019.0
REF191,"""Gilligan T. Brown J. (2014). A new name for the western spruce budworm (Lepidoptera: Tortricidae)?. The Canadian Entomologist. 146(6): 583-589""",2014.0
REF192,"""Kumata T. (1961). Descriptions of a new genus and a new species of Gracillariidae from Japan (Lepidoptera). Insecta Matsumurana. 24(1): 52-56""",1961.0
REF193,"""Koo J. et al. (2019). Chrysaster ostensackenella (Fitch 1859) (Lepidoptera: Gracillariidae) new to Korea. Korean Journal of Applied Entomology. 58 (3): 225-228""",2019.0
REF194,"""Caliskan S. (2014). Review of the the genus Chrysoclista Stainton 1854 (Lepidoptera: Agonoxenidae) in Turkey with a new species. Journal of the Entomological Research Society. 16(3): 67-73""",2014.0
REF195,"""Riyaz M. Ignacimuthu S. (2024). Plusiinae of Kashmir: Taxonomy distribution and new faunistic records (Lepidoptera: Noctuoidea). SHILAP Revista de lepidopterologia. 52(206): 375-383""",2024.0
REF196,"""Roberts L. (1979). Biology of Chrysodeixis eriosoma (Lepidoptera: Noctuidae) in New Zealand. New Zealand Entomologist. 7(1): 52-58""",1979.0
REF197,"""ten Holt H. Kuchlein J. (2006). Additional data on the distribution and early stages of Chrysoesthia verrucosa (Lepidoptera: Gelechiidae). Phegea. 34(1): 13-16""",2006.0
REF198,"""Choudhary J. et al. (2019). Predicting the invasion potential of indigenous restricted mango fruit borer Citripestis eutraphera (Lepidoptera: Pyralidae) in India based on MaxEnt modelling. Current Science. 116(4): 636-642""",2019.0
REF199,"""Vieira V. (1997). Lepidoptera of the Azores Islands. Boletim do Museu Municipal do Funchal. 49(273): 5-76""",1997.0
REF200,"""Corley M. et al. (2020). New and interesting Portuguese Lepidoptera records from 2019 (Insecta: Lepidoptera). SHILAP Revista de Lepidopterologia. 48(192): 609-641""",2020.0
REF201,"""Pinzari M. et al. (2018). Is the alien species Clepsis peritana (Lepidoptera: Tortricidae) settling in Italy? Journal of Entomological and Arachnological Research. 50: 7551""",2018.0
REF202,"""Dang P. et al. (1996). Occurrence of two palaearctic species of Clepsis Guenee C. spectrana Treitshcke and C. consimilana (Huebner)(Tortricidae) in British Columbia Canada. Journal of The Lepidopterist Society. 50: 321-328""",1996.0
REF203,"""Ong S. Farid A. (2015). Defoliators Of Sesenduii Endospermum Diadenum. FRIM Technical Information. 75: 1-3""",2015.0
REF204,"""Yano K. (1963). Taxonomic and biological studies of Pterophoridae of Japan (Lepidoptera). Pacific Insects. 5(!): 65-209""",1963.0
REF205,"""Gao L. et al. (2023). Use of food attractant to monitor and forecast population dynamics of Cnaphalocrocis medinalis (Lepidoptera: Pyralidae) a long-distance migratory pest. Agronomy. 13(8): 2141""",2023.0
REF206,"""Kamtchou Y. et al. (2023). Overall dominance of Spodoptera frugiperda Smith (Lepidoptera: Noctuidae) within the lepidopteran pests community infesting maize fields in the Littoral Region of Cameroon. International Journal of Tropical Insect Science. 43(1): 163-172""",2023.0
REF207,"""Goglia L. (2021). Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems. [PhD Thesis Universita degli Studi della Tuscia and Universita degli Studi del Molise]""",2021.0
REF208,"""Poonyathawon P. (1968). Insect parasites of the omnivorous leaf tier Cnephasia longana (Haworth) in Oregon. [MSc Thesis Oregon State University]""",1968.0
REF209,"""Turner S. Cesselli S. (2013). Operational field guide to the establishment of tansy ragwort biocontrol agents in British Columbia. Victoria British Columbia Canada""",2013.0
REF210,"""McLaren D. (1992). Observations on the life cycle and establishment of Cochylis atricapitana (Lep: Cochylidae) a moth used for biological control of Senecio jacobaea in Australia. Entomophaga. 37: 641-648""",1992.0
REF211,"""Sun Y. Li H. (2013). Cochylis Treitschke in China: one new species and five new records (Lepidoptera Tortricidae Cochylini). ZooKeys. 258: 85-96""",2013.0
REF212,"""Landry J. Wright B. (1993). Systematics of the Nearctic species of metallic-green Coleophora (Lepidoptera: Coleophoridae). The Canadian Entomologist. 125(3): 549-618""",1993.0
REF213,"""Martelli M. (1956). Osservazioni sulletologia della Coleophora anatipennella Hb.(Lepidoptera Coleophoridae). Bollettino di Zoologia Agraria e Bachicoltura. 22: 247-255""",1956.0
REF214,"""Min-Younga K. Park K. (2009). A taxonomic review of the genus Coleophora Hubner (Lepidoptera: Coleophoridae) in Korea. Journal of Asia-Pacific Entomology. 12: 183-198""",2009.0
REF215,"""Hoebeke E. et al. (1993). Coleophora colutella (Lepidoptera: Coleophoridae): a Palearctic pest of crownvetch Coronilla varia (Fabaceae) new to North America. Annals of the Entomological Society of America. 86(2): 134-141""",1993.0
REF216,"""Corley M. et al. (2006). Miscellaneous additions to the Lepidoptera of Portugal (Insecta: Lepidoptera). SHILAP Revista de Lepidopterologia. 34(136): 407-427""",2006.0
REF217,"""Anikin V. Shchurov V. (2001). Casebearers from Caucasus (Lepidoptera: Coleophoridae). Zoosystematica Rossica. 10: 171-179""",2001.0
REF218,"""Stubner A. (2007). Taxonomische Revision der Coleophora frischella-Artengruppe (Coleophoridae). Nota lepidopterologica. 30(1): 121-172""",2007.0
REF219,"""Khan A. Baloch G. (1976). Coleophora klimeschiella [Lep.: Coleophoridae] a promising biocontrol agent for russian thistles Salsola spp. Entomophaga. 21(4): 425-428""",1976.0
REF220,"""Richter I. (2018). New findings of the case-bearing moths (genus Coleophora Hubner 1822) from the Balkan Peninsula with description of two new species (Lepidoptera Coleophoridae). Microlepidoptera.hu. 13(1): 43-52""",2018.0
REF221,"""Muller H. Goeden R. (1990). Parasitoids acquired by Coleophora parthenica [Lepidoptera: Coleophoridae] ten years after its introduction into southern California for the biological control of Russian thistle. Entomophaga. 35: 257-268""",1990.0
REF222,"""Muller H. et al. (1990). Natural enemies and host-plant asynchrony contributing to the failure of the introduced moth Coleophora parthenica Meyrick (Lepidoptera: Coleophoridae) to control Russian thistle. Agriculture Ecosystems and Environment. 32(1): 133-142""",1990.0
REF223,"""Tabell J. et al. (2023). New and little known Coleophora Hubner 1822 species from Morocco. Part I.(Lepidoptera Coleophoridae). Zootaxa. 5374(2): 151-195""",2023.0
REF224,"""Coshan P. (1974). The biology of Coleophora serratella (L.)(Lepidoptera: Coleophoridae). Transactions of the Royal Entomological Society of London. 126(2): 169-188""",1974.0
REF225,"""Anikin V. Knyazev S. (2024). Additions to the fauna of casebearer moths (Lepidoptera Coleophoridae) of Omsk Region Russia. Results of expeditions in 2021-2023. Ecologica Montenegrina. 75: 89-97""",2024.0
REF226,"""Landry J. et al. (2013). Shared but overlooked: 30 species of Holarctic Microlepidoptera revealed by DNA barcodes and morphology. Zootaxa. 3749(1): 1-93""",2013.0
REF227,"""Fuentes N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41""",2020.0
REF228,"""Pohl G. et al. (2015). Checklist of the Lepidoptera of British Columbia Canada. Entomological Society of British Columbia Occasional Paper. 3: 1-237""",2015.0
REF229,"""McLeod J. (1966). Notes on the Biology of a Spruce Needle-miner Pulicalvaria piceaella (Kearfott)(Lepidoptera: Gelechiidae) 1. The Canadian Entomologist. 98(3): 225-236""",1966.0
REF230,"""Adair R. Scott J. (1989). The life-history and host specificity of Comostolopsis germana Prout (Lepidoptera: Geometridae) a biological control agent of Chrysanthemoides monilifera (Compositae). Bulletin of Entomological Research. 79(4): 649-657""",1989.0
REF231,"""Dyar H. (1914). Description of new species of lepidoptera from Mexico. Proceedings of th United States National Museum. 47: 365-409""",1914.0
REF232,"""Martinez J. et al. (2019). Lepidoptera pests of sapodilla (Manilkara zapota (L.) van Royen) in south Florida with some comments on life history and natural control. Insecta Mundi. 0739: 1-26""",2019.0
REF233,"""de Prins J. de Prins W. (2024). Afromoths online database of Afrotropical moth species (Lepidoptera).""",2024.0
REF234,"""Niogret J. et al. (2019). Development and behavioral ecology of Conopomorpha cramerella (Lepidoptera: Gracillariidae). Florida Entomologist. 102(2): 382-387""",2019.0
