Species;AcceptedSpecies;Genus;Family;Butterfly
Eugnosta californica;Eugnosta californica;Eugnosta;Tortricidae;0
Cadra figulilella;Cadra figulilella;Cadra;Pyralidae;0
Phyllonorycter mespilella;Phyllonorycter mespilella;Phyllonorycter;Gracillariidae;0
Mamestra brassicae;Mamestra brassicae;Mamestra;Noctuidae;0
Sesamia cretica;Sesamia cretica;Sesamia;Noctuidae;0
Tecia solanivora;Tecia solanivora;Tecia;Gelechiidae;0
Scrobipalpa ocellatella;Scrobipalpa ocellatella;Scrobipalpa;Gelechiidae;0
Prays oleae;Prays oleae;Prays;Praydidae;0
Danaus chrysippus;Danaus chrysippus;Danaus;Nymphalidae;1
Chrysodeixis acuta;Chrysodeixis acuta;Chrysodeixis;Noctuidae;0
Cydia interscindana;Cydia interscindana;Cydia;Tortricidae;0
Macrosaccus robiniella;Macrosaccus robiniella;Macrosaccus;Gracillariidae;0
Thaumetopoea processionea;Thaumetopoea processionea;Thaumetopoea;Notodontidae;0
Grapholita delineana;Grapholita delineana;Grapholita;Tortricidae;0
Euproctis chrysorrhoea;Euproctis chrysorrhoea;Euproctis;Erebidae;0
Acleris semipurpurana;Acleris semipurpurana;Acleris;Tortricidae;0
Depressaria depressana;Depressaria depressana;Depressaria;Depressariidae;0
Caloptilia roscipennella;Caloptilia roscipennella;Caloptilia;Gracillariidae;0
Phyllonorycter platani;Phyllonorycter platani;Phyllonorycter;Gracillariidae;0
Dyspessa ulula;Dyspessa ulula;Dyspessa;Cossidae;0
Tinea translucens;Tinea translucens;Tinea;Tineidae;0
Glyphodes perspectalis;Cydalima perspectalis;Cydalima;Crambidae;0
Glyphodes pyloalis;Glyphodes pyloalis;Glyphodes;Crambidae;0
Hellula undalis;Hellula undalis;Hellula;Crambidae;0
Palpita vitrealis;Palpita vitrealis;Palpita;Crambidae;0
Ancylis comptana;Ancylis comptana;Ancylis;Tortricidae;0
Caloptilia azaleela;Caloptilia azaleella;Caloptilia;Gracillariidae;0
Dendrolimus superans;Dendrolimus superans;Dendrolimus;Lasiocampidae;0
Dendrolimus spectabilis;Dendrolimus spectabilis;Dendrolimus;Lasiocampidae;0
Grapholita inopinata;Grapholita inopinata;Grapholita;Tortricidae;0
Rhizedra lutosa;Rhizedra lutosa;Rhizedra;Noctuidae;0
Aglais io;Aglais io;Aglais;Nymphalidae;1
Argynnis paphia;Argynnis paphia;Argynnis;Nymphalidae;1
Coenonympha glycerion;Coenonympha iphis;Coenonympha;Nymphalidae;1
Cupido argiades;Elkalyce argiades;Elkalyce;Lycaenidae;1
Iphiclides podalirius;Iphiclides podalirius;Iphiclides;Papilionidae;1
Maniola jurtina;Maniola jurtina;Maniola;Nymphalidae;1
Pararge aegeria;Pararge aegeria;Pararge;Nymphalidae;1
Thymelicus sylvestris;Thymelicus sylvestris;Thymelicus;Hesperiidae;1
Acleris issikii;Acleris issikii;Acleris;Tortricidae;0
Acrobasis pirivorella;Acrobasis pirivorella;Acrobasis;Pyralidae;0
Eoreuma loftini;Eoreuma loftini;Eoreuma;Crambidae;0
Platynota flavedana;Platynota flavedana;Platynota;Tortricidae;0
Callopistria floridensis;Callopistria floridensis;Callopistria;Noctuidae;0
Achaea ablunaris;Achaea ablunaris;Achaea;Erebidae;0
Aglaonice hirtipalpis;Aglaonice hirtipalpis;Aglaonice;Erebidae;0
Anartia chrysopelea;Anartia lytraea;Anartia;Nymphalidae;1
Anomis luridula;Anomis luridula;Anomis;Erebidae;0
Anypsipyla univitella;Anypsipyla univitella;Anypsipyla;Pyralidae;0
Bema neuricella;Bema neuricella;Bema;Pyralidae;0
Bleptina araealis;Bleptina araealis;Bleptina;Erebidae;0
Callopistria jamaicensis;Callopistria jamaicensis;Callopistria;Noctuidae;0
Condica punctifera;Condica punctifera;Condica;Noctuidae;0
Cryptaspasma lugubris;Cryptaspasma lugubris;Cryptaspasma;Tortricidae;0
Dypterygia punctirena;Dypterygia punctirena;Dypterygia;Noctuidae;0
Elaphria deltoides;Elaphria deltoides;Elaphria;Noctuidae;0
Electrostrymon angelia;Thecla angelia;Thecla;Lycaenidae;1
Elousa albicans;Elousa albicans;Elousa;Erebidae;0
Empyreuma affinis;Empyreuma affinis;Empyreuma;Erebidae;0
Epidromia pannosa;Epidromia pannosa;Epidromia;Erebidae;0
Manbuta pyraliformis;Manbuta pyraliformis;Manbuta;Erebidae;0
Epimorius testaceellus;Epimorius testaceellus;Epimorius;Pyralidae;0
Ethmia submissa;Ethmia submissa;Ethmia;Ethmiidae;0
Eulepidotis striaepuncta;Eulepidotis striaepuncta;Eulepidotis;Erebidae;0
Euscirrhopterus poeyi;Euscirrhopterus poeyi;Euscirrhopterus;Noctuidae;0
Gonodontia bidens;Gonodonta bidens;Gonodonta;Erebidae;0
Hamadryas amphichloe;Hamadryas februa;Hamadryas;Nymphalidae;1
Hypena subidalis;Hypena subidalis;Hypena;Erebidae;0
Leucania dorsalis;Leucania dorsalis;Leucania;Noctuidae;0
Leucania inconspicua;Leucania inconspicua;Leucania;Noctuidae;0
Leucania opalisans;Leucania lobrega;Leucania;Noctuidae;0
Leucania senescens;Leucania senescens;Leucania;Noctuidae;0
Lipographis subosseella;Lipographis subosseella;Lipographis;Pyralidae;0
Litoprosopus haitiensis;Litoprosopus haitiensis;Litoprosopus;Erebidae;0
Macristis geminipunctalis;Macristis geminipunctalis;Macristis;Erebidae;0
Maruca testulalis;Maruca vitrata;Maruca;Crambidae;0
Mocis cubana;Mocis cubana;Mocis;Erebidae;0
Neoleucinoides torvus;Neoleucinodes torvis;Neoleucinodes;Crambidae;0
Neotuerta hemicycla;Neotuerta hemicycla;Neotuerta;Noctuidae;0
Opogona purpuriella;Opogona purpuriella;Opogona;Tineidae;0
Zophodia lucidalis;Zophodia lucidalis;Zophodia;Pyralidae;0
Paectes lunodes;Paectes lunodes;Paectes;Euteliidae;0
Papilio andro;Papilio indra;Papilio;Papilionidae;1
