;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
97;0;Europe;Cameraria ohridella;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
98;0;Europe;Caradrina clavipalpis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
99;0;Europe;Apamea crenata;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
100;0;Europe;Eupithecia carpophagata;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
101;0;Europe;Lateroligia ophiogramma;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
102;0;Europe;Cochylis atricapitana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
103;0;Europe;Agrochola lota;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
104;0;Europe;Ennomos alniaria;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
105;0;Europe;Erannis defoliaria;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
106;0;Europe;Dendrolimus pini;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
107;0;Asia;Hypolimnas misippus;Saharo-Arabian;2021;Coetzer, A. and Westrip, J. (2021). Hypolimnas misippus. The IUCN Red List of Threatened Species 2021: e.T62148588A161331411
108;0;Asia;Caradrina ingrata;Saharo-Arabian;2007;Okyar, Z. and Aktac, N. (2007). Heteroceran fauna of Gokçeada and Bozcaada (North Aegean Islands, Turkey), with a new record of Noctuidae (Lepidoptera), and biogeographical analyses. Entomological news. 118(3): 263-272
109;0;Asia;Hypena commixtalis;Saharo-Arabian;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net
110;0;Asia;Deudorix antalus;Saharo-Arabian;1997;Gillett, M. (1997). The butterflies of the United Arab Emirates and neighbouring areas of northern Oman-three newly recognised species and some other interesting records (Lepidoptera: Rhopalocera). Tribulus. 7(1): 15-18
111;0;Asia;Araeopteron ecphaea;Saharo-Arabian;2001;Fibiger, M. and Agassiz, D. (2001). Araeopteron ecphaea, a small noctuid moth in the West Palaearctic (Noctuidae: Acontiinae). Nota lepidopterologica. 24(1): 29-35
112;0;South America;Achyra similalis;Neotropical;1967;Capps, H. (1967). Review of some species of Loxostege Hubner and descriptions of new species (Lepidoptera, Pyraustidae: Pyraustinae). Proceedings of the United States National Museum. 120(3561)
113;0;South America;Cactoblastis doddi;Neotropical;1985;McFadyen, R. (1985). Larval characteristics of Cactoblaslis spp. (Lepidoptera: Pyralidae) and the selection of species for biological control of prickly pears ( Opuntia spp.). Bulletin of Entomological Research, 75(1): 159–168
