Species;Continent;Realm;ReferenceYear;Reference
Aglossa dimidiatus;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglossa pinguinalis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglossa pinguinalis;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglossa pinguinalis;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agonopterix alstromeriana;Europe;Palearctic;2001;McKenna, D. et al. (2001). A native hymenopteran predator of Agonopterix alstroemeriana (Lepidoptera: Oecophoridae) in East-Central Illinois. The Great Lakes Entomologist. 34(1): 10
Agonopterix arenella;Europe;Palearctic;2023;Zhu, X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner, [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404
Agonopterix arenella;Asia;Palearctic;2023;Zhu, X. et al. (2023). New species and newly recorded species of the genus Agonopterix Hubner, [1825] (Lepidoptera: Depressariidae) from China. Zootaxa. 5258 (4): 379-404
Agonopterix assimilella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agonopterix ciliella;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Agonopterix heracliana;Europe;Palearctic;2013;Ireson, J. et al. (2013). Host testing, establishment and biology of the gorse soft shoot moth, Agonopterix umbellana (Fabricius)(Lepidoptera: Oecophoridae), a potential biological control agent for gorse, Ulex europaeus L.(Fabaceae), in Australia. Biological Control. 67(3): 451-461
Agonopterix nervosa;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agonopterix ulicetella;Europe;Palearctic;1995;Hill, R. et al. (1995). Suitability of Agonopterix ulicetella (Lepidoptera: Oecophoridae) as a Control for Ulex europaeus. Biocontrol Science and Technology. 5: 3-10
Agonopterix ulicetella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agonoxena argaula;North America;Nearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Agonoxena argaula;Oceania;Oceanian;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Agonoxena argaula;Europe;Palearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu, Hawaii, United States of America
